Dataset,ARM processing time [s],FPGA processing time [s],Processing time speed up,Numer of instances,Numer of features
marketing,1450.4913777890995,23.462286257743838,61.82225218185453,6876,14
titanic,113.48639731819966,3.573351740837097,31.759089378537983,2201,3
abalone,181.47789597030058,10.436769318580627,17.388321082005202,4174,8
satimage,369.05549021509944,22.51223087310791,16.393554787853407,6435,36
winequality-white,236.9553022359014,14.752305555343629,16.06225558079433,4898,11
thyroid,340.68763571250093,23.109752106666562,14.742158814166658,7200,21
twonorm,185.60637713710167,13.42910418510437,13.821203155380774,7400,20
chess,82.10239421069927,6.652599811553955,12.341399834108056,3196,36
texture,97.25040714730021,8.282177257537843,11.742130616534423,5500,40
led7digit,12.319251855300001,1.0881898880004883,11.320865954687564,500,7
winequality-red,26.214114379800233,2.3482513189315792,11.163249081758114,1599,11
vehicle,10.09036345660097,0.9181003570556641,10.990479830506368,846,18
contraceptive,26.908810044398706,2.4509472846984863,10.978942799950513,1473,9
flare,26.475161528701573,2.4151207208633423,10.962251824512274,1066,11
yeast,19.7850825184003,1.9094844341278077,10.361478818463112,1484,8
phoneme,72.16454176459956,7.007138395309448,10.29871792070016,5404,5
banana,52.40385595390035,5.35117027759552,9.792971113871442,5300,2
german,16.6637192252987,1.765117573738098,9.44057181981873,1000,20
car,15.130311330099357,1.7622552633285522,8.585766003910912,1728,6
segment,22.074332830000273,2.595718741416931,8.50413123648,2310,19
mammographic,7.241112363300271,0.92076997756958,7.864192512459585,830,5
pima,5.92682371350038,0.9514619588851928,6.22917569972499,768,8
mushroom,28.184990110099715,6.076464319229126,4.63838650725021,5644,22
tic-tac-toe,7.675813273999665,1.760202956199646,4.360754677160682,958,9
vowel,6.713784431901149,1.7592596292495728,3.816255611324959,990,13
balance,3.4711464678999615,0.9168799400329589,3.785824420779873,625,4
wisconsin,3.111606205898715,0.9200222015380859,3.3820990414109096,683,9
saheart,3.1040328582001164,0.9403735399246215,3.300850913402912,462,9
bands,2.7130964596995906,0.9197129726409912,2.9499382311731774,365,19
dermatology,2.422395878200769,0.9256688833236694,2.6169140195174454,358,34
ionosphere,2.3615195733014844,0.9293338060379028,2.541088635707254,351,33
cleveland,2.111159022200445,0.9240853309631347,2.28459315548281,297,13
bupa,1.915221936499438,0.9228917121887206,2.075240151368699,345,6
monk-2,1.7934301934012182,0.9228077173233032,1.9434494962864455,432,6
ecoli,1.720368648898875,0.9263121366500854,1.857223478816131,336,7
heart,1.6386121439980343,0.9202962636947631,1.7805267810383252,270,13
breast,1.6141067896016466,0.9205887794494628,1.7533418021528857,277,9
automobile,1.084311738598626,0.9211414098739623,1.1771392828241105,150,25
glass,1.0671613705009804,0.934890866279602,1.1414822938079914,214,9
housevotes,1.0085564285021973,0.9328683137893676,1.0811348328526456,232,16
lymphography,0.9080843430000186,0.9388271570205687,0.9672540213705423,148,18
wine,0.8759200352993501,0.9219210386276245,0.9501030984207154,178,13
newthyroid,0.8530552989004717,0.9328224182128906,0.9144884194944227,215,5
hayes-roth,0.7831660065028699,0.9291905879974365,0.8428475456157232,160,4
tae,0.7311834464006096,0.9167038202285767,0.7976223402432115,151,5
iris,0.553510719402402,0.9214332103729247,0.6007062836148307,150,4
appendicitis,0.4391903468000236,0.9106176376342774,0.482299407181493,106,9
post-operative,0.42056940199963716,0.9516034364700316,0.4419586835034322,87,8
zoo,0.40189847439905857,0.9188519716262817,0.43739197042559097,101,17
hepatitis,0.36421528210048554,0.9260278463363647,0.393309211533354,80,19
