Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
abalone,FPGA,23,3742,432,1,10.280581951141357,0.12871694564819336,0.5324291184218898,0.125,0.1496516062949269,0.125,0.12453042464826254
abalone,FPGA,28,3747,427,2,10.28044319152832,0.12714529037475586,0.5083532792881988,0.09133489461358314,0.1288890744032958,0.09133489461358314,0.09356488763003631
abalone,FPGA,28,3751,423,3,10.305811882019043,0.12623119354248047,0.5206463884964571,0.1182033096926714,0.16562909078718877,0.1182033096926714,0.11895264819863562
abalone,FPGA,28,3753,421,4,10.289955854415894,0.1259315013885498,0.5263773664257203,0.10688836104513064,0.138853393402087,0.10688836104513064,0.10913264182552065
abalone,FPGA,28,3755,419,5,10.314480543136597,0.12543559074401855,0.5173519044426621,0.10023866348448687,0.12159552227172962,0.10023866348448687,0.09382167580312725
abalone,FPGA,28,3757,417,6,10.307616949081421,0.1247553825378418,0.5226211936615771,0.1079136690647482,0.1503225815917878,0.1079136690647482,0.10791750658940905
abalone,FPGA,28,3761,413,7,10.318360567092896,0.12372446060180664,0.5146341289582098,0.1016949152542373,0.13015617656946527,0.1016949152542373,0.09716167608027336
abalone,FPGA,28,3765,409,8,10.33420467376709,0.12242746353149414,0.5041370289471332,0.09290953545232274,0.10520668119622803,0.09290953545232274,0.08533855163819896
abalone,FPGA,28,3766,408,9,10.34336233139038,0.1225893497467041,0.5117357043243981,0.09313725490196079,0.119833683612456,0.09313725490196079,0.09244454209155965
abalone,FPGA,28,3769,405,10,10.344347953796387,0.12157011032104492,0.5119544784328434,0.08888888888888889,0.13067741887575507,0.08888888888888889,0.09056577166308147
